framework,framework_version,simulator,architecture,n,k,depth,n_params,n_param_sets,n_grad_components,var_pooled,threshold,configuration_seed
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,29,232,50,11600,0.003650267250616432,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,30,240,50,12000,0.003888582015295615,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,1,8,50,400,0.04421325526644969,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,2,16,50,800,0.008257243596336743,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,3,24,50,1200,0.009006481228524882,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,4,32,50,1600,0.005849334462349085,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,5,40,50,2000,0.005379043705987371,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,6,48,50,2400,0.006042632065154044,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,7,56,50,2800,0.004526346374761528,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,8,64,50,3200,0.005791242315661396,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,9,72,50,3600,0.004296145026553394,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,10,80,50,4000,0.004310008742207368,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,11,88,50,4400,0.00416260794009808,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,12,96,50,4800,0.004053743561226133,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,13,104,50,5200,0.004310632173564875,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,14,112,50,5600,0.003794000126484806,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,15,120,50,6000,0.0036391240877412566,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,16,128,50,6400,0.0040213414759688836,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,17,136,50,6800,0.00400955576285165,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,18,144,50,7200,0.004095712301340846,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,19,152,50,7600,0.004071824966884544,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,20,160,50,8000,0.003937924404732502,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,21,168,50,8400,0.003943562637246388,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,22,176,50,8800,0.0036816370821668057,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,23,184,50,9200,0.004012305114902084,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,24,192,50,9600,0.004039729728731676,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,25,200,50,10000,0.003948938143379614,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,26,208,50,10400,0.004015382088594745,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,27,216,50,10800,0.003952637657537759,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,28,224,50,11200,0.003983479518669175,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,29,232,50,11600,0.00374538963592721,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,30,240,50,12000,0.00404250046962286,0.01,4249091540
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,1,8,50,400,0.03514220604664289,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,2,16,50,800,0.021696446830703854,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,3,24,50,1200,0.015220153231501964,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,4,32,50,1600,0.01565048993306036,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,5,40,50,2000,0.010284042075657666,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,6,48,50,2400,0.007315104407214648,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,7,56,50,2800,0.005842117464860357,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,8,64,50,3200,0.00448228438021595,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,9,72,50,3600,0.004341153625474559,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,10,80,50,4000,0.004457859910052262,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,11,88,50,4400,0.004164168135493085,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,12,96,50,4800,0.00375585169763754,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,13,104,50,5200,0.0038694368457198127,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,14,112,50,5600,0.003852701858944834,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,15,120,50,6000,0.003978130499758758,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,16,128,50,6400,0.0038326784500375467,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,17,136,50,6800,0.003925063980196281,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,18,144,50,7200,0.0037918934383833498,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,19,152,50,7600,0.003864608866644369,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,20,160,50,8000,0.003931004764942409,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,21,168,50,8400,0.003889653123807561,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,22,176,50,8800,0.0038653016511192607,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,23,184,50,9200,0.003807228615457234,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,24,192,50,9600,0.0037596409045847607,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,25,200,50,10000,0.0039058320728658814,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,26,208,50,10400,0.003809656921668694,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,27,216,50,10800,0.0037688236889486795,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,28,224,50,11200,0.003793129589008012,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,29,232,50,11600,0.0038016576471123042,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,30,240,50,12000,0.0038420567866041047,0.01,874994599
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,1,10,50,500,0.04985492276801533,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,2,20,50,1000,0.03527986457685398,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,3,30,50,1500,0.017747895023788502,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,4,40,50,2000,0.022726174302893077,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,5,50,50,2500,0.002711396271490702,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,6,60,50,3000,0.0019224577374764287,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,7,70,50,3500,0.0015036890085990318,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,8,80,50,4000,0.001547989504573413,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,9,90,50,4500,0.001452377616806462,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,10,100,50,5000,0.0013710411148226834,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,11,110,50,5500,0.0011866197639499112,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,12,120,50,6000,0.0010879115250427996,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,13,130,50,6500,0.001099475930405185,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,14,140,50,7000,0.0009992776946707474,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,15,150,50,7500,0.0010444694512454877,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,16,160,50,8000,0.0010113120061287155,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,17,170,50,8500,0.0009617876529207832,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,18,180,50,9000,0.0009245630684397713,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,19,190,50,9500,0.0009248987091423609,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,20,200,50,10000,0.0009502718543627427,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,21,210,50,10500,0.0009206492718877426,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,22,220,50,11000,0.0008636448208389513,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,23,230,50,11500,0.000958563502826626,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,24,240,50,12000,0.0009933406918973824,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,25,250,50,12500,0.0010002031055611543,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,26,260,50,13000,0.0009519853315144857,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,27,270,50,13500,0.0009645646078617797,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,28,280,50,14000,0.0009349975908351342,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,29,290,50,14500,0.0009501274791849949,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,30,300,50,15000,0.0009255218160833144,0.01,1334024609
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,1,10,50,500,0.04207876350620144,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,2,20,50,1000,0.017603839679537055,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,3,30,50,1500,0.023442335553560102,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,4,40,50,2000,0.01116772686579369,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,5,50,50,2500,0.0016694113529254768,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,6,60,50,3000,0.001718916877607673,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,7,70,50,3500,0.0013960555007653543,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,8,80,50,4000,0.0014590112678793403,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,9,90,50,4500,0.0013551755932902014,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,10,100,50,5000,0.001306359189938057,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,11,110,50,5500,0.0011778346260140754,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,12,120,50,6000,0.0011294172615765822,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,13,130,50,6500,0.0010004479218133299,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,14,140,50,7000,0.0010411153669072396,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,15,150,50,7500,0.0010493020459249062,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,16,160,50,8000,0.0009907681104246986,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,17,170,50,8500,0.0009736283024675997,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,18,180,50,9000,0.0008862917751420796,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,19,190,50,9500,0.0009253413929867348,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,20,200,50,10000,0.0009669682677771267,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,21,210,50,10500,0.0009040714109478709,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,22,220,50,11000,0.0009374614313868231,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,23,230,50,11500,0.0009935117157149876,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,24,240,50,12000,0.001006884654500603,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,25,250,50,12500,0.0009860394106721185,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,26,260,50,13000,0.0009789446705935074,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,27,270,50,13500,0.0009492256576384477,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,28,280,50,14000,0.0009534966356249,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,29,290,50,14500,0.0009417439940774966,0.01,2922137862
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,30,300,50,15000,0.0009174125767229587,0.01,2922137862
