bootstrap_id,A,c
302,897.320333225477,1.2846481850680083
303,1086.6641432467536,1.3321764171207915
304,1105.8971019663122,1.3298039938205182
305,997.1083858375423,1.3231332794436308
306,861.3655078616314,1.2637768243970602
307,1182.6894260797078,1.3725092366984186
308,1003.5750652235116,1.3166200980213547
309,1808.1903167075523,1.4496963679791492
310,1622.0406582007956,1.4369804753156015
311,1306.0986639172775,1.3509123196123969
312,2762.1354829762467,1.5829962604975434
313,975.7973772419397,1.321511790629786
314,995.3547322469193,1.2887719213472228
315,1706.7075030489173,1.437628336090152
316,1491.0626538371407,1.430215108556024
317,1202.8051625650785,1.3786046452389813
318,1092.5446649851567,1.3433897341583245
319,1044.3895023097093,1.348410034102266
320,1640.4363465623676,1.4464917020344392
321,831.6459866246455,1.268119654535385
322,1748.61352439466,1.4650570115045747
323,1202.4845611252235,1.3512621587788611
324,1152.9991560909705,1.3438964813820893
325,781.6479953909575,1.2110021526962287
326,1250.9762696516548,1.3904034184104517
327,965.5915936781289,1.31087942473665
328,659.991958451348,1.2279120384887747
329,1324.6251164773576,1.3862503975438176
330,1521.451202774251,1.459362136104828
331,2573.721968779826,1.5524983334198357
332,1301.8550479358569,1.3742736731244927
333,1648.432654008336,1.427710125862117
334,1672.1606954307135,1.4509800599822917
335,2203.7005729210914,1.5391927542767363
336,2539.1393507692032,1.5528499049201208
337,1326.8514934630978,1.3861724830768558
338,960.343263772075,1.3102264620925668
339,1150.9525091017656,1.3629376916073788
340,1637.2915836216846,1.4172883497938957
341,599.108942708295,1.161126643183901
342,753.4453406905744,1.2452260601679765
343,1096.6914927861785,1.3207957104284667
344,1084.50557292972,1.3577454751271492
345,892.0418413870399,1.289721767763558
346,889.875815518376,1.2649316386431255
347,2145.9250528138386,1.53473141844788
348,4449.863273518413,1.7413354613852132
349,615.4869118702691,1.1953160106201666
350,1298.7552187468068,1.3707163948141454
351,1084.7675687906708,1.3362809135970244
352,1466.7344511432477,1.4089076017968707
353,1350.2568556880108,1.409127339899329
354,586.3214024914921,1.2008651124567222
355,1466.2314436243398,1.3898993639285737
356,932.0052654724428,1.2964912418421575
357,697.2844473514383,1.2177912343960966
358,2570.70758010676,1.5810652939099439
359,1201.8093773269381,1.3975367266294405
360,1408.8997758150738,1.3905429686824269
361,1368.8961175119662,1.357405755149574
362,895.7961705990325,1.2839946014593449
363,843.6870701256793,1.2740440836444882
364,829.998281252706,1.2662718381866902
365,1343.2619183712268,1.3824265458380196
366,1453.7802524416556,1.3832591422330205
367,2856.609114247038,1.5937331938051702
368,1083.3160436543592,1.3273885830583312
369,3330.9449604285414,1.6249809648713636
370,1197.9739947892049,1.361501939100047
371,716.3788122459167,1.2267259311402947
372,2360.015134863002,1.519082778471676
373,708.2967369684682,1.2083745951255576
374,1261.23364071946,1.3739564219334606
375,689.4113862756317,1.2373415006873714
376,709.5628903674765,1.209046530062691
377,1165.886280807095,1.3620824842732548
378,1917.4527437031354,1.5087709374398957
379,1614.3126634324633,1.4152715452706977
380,885.5503380537715,1.2586576158716383
381,1306.9314768963325,1.4008534532916974
382,1142.0185335217902,1.3523217043582958
383,989.185068983422,1.281585718381387
384,1178.2711898168009,1.3801823458851876
385,1937.9342080676506,1.4814827266938606
386,1120.3864014354224,1.3217076677890411
387,873.1322970376513,1.2737445644098297
388,836.312801278105,1.2648833835000144
389,1165.8689099611506,1.3752297380890661
390,955.544707023403,1.2901131854608827
391,1029.6594971591464,1.31556719427431
392,2231.009382303316,1.5081466769600929
393,795.4585818922174,1.2477917521561286
394,1669.6036340380074,1.4415294563512704
395,1631.2221114476934,1.3950488715470772
396,1206.4164847492882,1.3163492747384336
397,2335.6453915630723,1.5184082104747976
398,741.2343844235936,1.2595702344620587
399,825.7930882577062,1.265635243255359
400,1450.676655131815,1.3928427055078587
401,888.0010841649669,1.2693836178991043
402,4264.265961051095,1.6964985179947631
403,3667.4254524509583,1.66525489556774
