framework,framework_version,simulator,architecture,observable,n,k,depth,n_params,n_param_sets,n_grad_components,var_pooled,threshold,configuration_seed,tau_BP,censored
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,29,348,50,17400,0.0010453669538108953,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,30,360,50,18000,0.0012744732484457017,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,1,14,50,700,0.04281866600712607,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,2,28,50,1400,0.03820397654741077,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,3,42,50,2100,0.021060818431325293,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,4,56,50,2800,0.029156260796529557,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,5,70,50,3500,0.020323428692655073,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,6,84,50,4200,0.021772071715984078,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,7,98,50,4900,0.01670909064432327,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,8,112,50,5600,0.019187016930698634,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,9,126,50,6300,0.014103198743622033,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,10,140,50,7000,0.013742551751783138,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,11,154,50,7700,0.011659738703279698,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,12,168,50,8400,0.012606708209210353,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,13,182,50,9100,0.00901635640622308,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,14,196,50,9800,0.010822407907523982,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,15,210,50,10500,0.007557319228448904,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,16,224,50,11200,0.008890216933170466,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,17,238,50,11900,0.006592410101913692,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,18,252,50,12600,0.007158549790572862,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,19,266,50,13300,0.005586440103578697,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,20,280,50,14000,0.005219964882030475,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,21,294,50,14700,0.004329731146716435,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,22,308,50,15400,0.004463270219940766,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,23,322,50,16100,0.003359148450889833,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,24,336,50,16800,0.0036443622445412383,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,25,350,50,17500,0.0026820587706648967,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,26,364,50,18200,0.003191180377727485,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,27,378,50,18900,0.002425469956273521,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,28,392,50,19600,0.002770542184260965,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,29,406,50,20300,0.002014495052882579,0.01,3383362091,13,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,14,2,30,420,50,21000,0.002137724946683125,0.01,3383362091,13,False
