framework,framework_version,simulator,architecture,n,depth,n_samples,mean_entropy,std_entropy,stderr_entropy,mean_normalized_entropy,std_normalized_entropy,stderr_normalized_entropy,seed
PennyLane,0.44.1,lightning.qubit,all_to_all,12,5,50,3.873257251323082,0.4646452588908048,0.06571076268157341,0.6455428752205137,0.0774408764818008,0.010951793780262235,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,6,50,4.680387199712291,0.28148745210516435,0.039808337240497045,0.7800645332853817,0.046914575350860716,0.006634722873416173,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,7,50,4.915838059673506,0.2053557876420752,0.029041693999523197,0.8193063432789177,0.03422596460701253,0.004840282333253865,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,8,50,4.918793354015775,0.1960575604613819,0.027726726101026933,0.8197988923359627,0.03267626007689699,0.004621121016837823,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,9,50,5.0065702318971,0.1417268997381835,0.020043210376283097,0.8344283719828499,0.023621149956363913,0.003340535062713849,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,10,50,5.139243746035241,0.08437291769707832,0.011932132450419708,0.8565406243392069,0.01406215294951306,0.001988688741736619,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,11,50,5.225091088404509,0.04455806350887945,0.0063014617727339016,0.8708485147340849,0.007426343918146576,0.0010502436287889837,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,12,50,5.247199450367247,0.021684936552203462,0.00306671313713262,0.8745332417278745,0.0036141560920339034,0.0005111188561887689,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,13,50,5.246171850420488,0.02308029143466603,0.003264046117042828,0.8743619750700816,0.0038467152391110024,0.0005440076861738043,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,14,50,5.247639650663673,0.020513071088293325,0.0029009863338987844,0.8746066084439457,0.0034188451813822168,0.0004834977223164635,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,15,50,5.2587341520780635,0.02124157413813501,0.0030040122232304115,0.8764556920130108,0.0035402623563558365,0.0005006687038717355,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,16,50,5.2637025079413995,0.01831677349685191,0.002590382949816403,0.8772837513235666,0.0030527955828086465,0.00043173049163606645,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,17,50,5.266833236725102,0.017152579695829184,0.0024257410835527007,0.8778055394541836,0.002858763282638195,0.0004042901805921165,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,18,50,5.266568759591709,0.01580632853620368,0.0022353524187224113,0.8777614599319515,0.002634388089367283,0.0003725587364537357,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,19,50,5.2692043559284745,0.017502634313568737,0.0024752462823505613,0.8782007259880793,0.002917105718928121,0.00041254104705842665,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,20,50,5.274741152862211,0.014621346369858951,0.002067770633640915,0.8791235254770349,0.002436891061643155,0.00034462843894015195,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,21,50,5.270379445676103,0.017356920368850882,0.002454639218665874,0.8783965742793507,0.0028928200614751513,0.0004091065364443129,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,22,50,5.2736685465617175,0.013089554076159927,0.0018511424899921396,0.8789447577602861,0.0021815923460266613,0.0003085237483320242,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,23,50,5.269004193602394,0.011288015496233447,0.0015963664607051003,0.8781673656003991,0.0018813359160389023,0.0002660610767841826,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,24,50,5.2684079794089875,0.01807256217157066,0.0025558462529866183,0.8780679965681647,0.0030120936952617765,0.0004259743754977697,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,25,50,5.272635958515471,0.014694333445416631,0.002078092564854077,0.8787726597525785,0.00244905557423611,0.0003463487608090135,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,26,50,5.271660350421733,0.017832959891282054,0.0025219613735506514,0.8786100584036223,0.0029721599818803442,0.0004203268955917755,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,27,50,5.271566498029782,0.017156503847633505,0.002426296042422949,0.878594416338297,0.002859417307938919,0.0004043826737371584,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,28,50,5.268084788460455,0.014672765849103842,0.0020750424461327436,0.8780141314100759,0.0024454609748506386,0.0003458404076887903,339234118
